index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
220,0,1,1.3500311979441904e-12,1.073554875811162e-07,1.3757724085171745e-07,6.6509021615203569e-13,0,0
221,0,1,6.4499516838623094e-12,1.0981611875137803e-07,1.4177996777607983e-07,3.1485329384506727e-12,0,0
222,0,0,0,1.4531477230830866e-08,1.6994409701773432e-08,2.8078616515223345e-17,0,0
223,0,0,2.8451463407463962e-11,1.259199813205828e-08,1.1766160379889319e-08,3.5401625713078598e-11,0,0
224,0,1,1.4063679110165594e-09,1.4792373374689138e-06,6.6809082717071629e-07,1.0138694719697264e-10,0,0
225,0,1,3.3528291254469877e-11,3.2808226201250052e-07,3.2291997667006511e-07,5.288814048057119e-12,0,0
226,0,1,2.9531932455029164e-13,1.477465490021033e-07,1.3385775359692353e-07,1.4621046694210552e-13,0,0
227,0,1,2.2710722191732202e-12,1.5217133865577659e-07,1.3807712076858701e-07,4.3031062331867333e-13,0,0
228,0,0,0,8.409403011703956e-09,9.8909337120188295e-09,1.4691310024532544e-17,0,0
229,0,0,0,1.4261442944797839e-08,5.0915177156382609e-09,0,0,0
230,1,0,0,3.7516901652407093e-09,3.7736231556917936e-09,1.7964596326094475e-16,0,0
231,0,0,0,1.0939617532535058e-08,8.1719323725174952e-09,1.8858767898937098e-17,0,0
232,0,0,5.773159728050814e-15,1.0380098643868618e-08,5.2893806039785096e-09,4.5239912156285377e-15,0,0
233,0,0,6.5547567373869242e-13,1.4822459562212665e-10,4.1378579776090369e-10,7.8982562455100499e-13,0,0
234,0,0,3.2352787115996762e-11,1.0150641679480838e-08,2.1725633758194767e-09,2.9070721719921704e-11,0,0
235,0,0,2.6645352591003757e-14,1.0210459727716191e-08,1.1375126868066479e-08,4.0382100924433324e-14,0,0
236,0,0,9.2814644858663087e-14,3.6362960721337072e-10,9.657635954046432e-09,1.1754049667804645e-13,0,0
237,1,0,0,9.428538465676371e-10,2.0028276747296214e-09,5.325924831237526e-17,0,0
238,0,0,1.1219469797651982e-11,5.769170384780617e-09,5.3894360059616953e-09,1.6376509993556997e-11,0,0
239,0,0,1.1893730444967332e-10,2.8923894491524501e-09,3.133274067667354e-09,1.0994290523940742e-10,0,0
240,0,0,3.8538505719998284e-10,9.2375621424339249e-10,8.0202312438910645e-09,4.7838122352317214e-10,0,0
241,0,0,7.1083583463860123e-11,1.2139677002590665e-08,3.7589981263094846e-09,9.2281443694263069e-11,0,0
242,1,0,1.3962608846895819e-11,6.1406452984058758e-10,1.617936235541171e-10,1.4050204539433468e-11,0,0
243,1,0,6.8611782921834674e-13,5.9214863020274619e-09,5.8806877057710509e-09,8.3706470142752881e-13,0,0
244,0,0,2.8002133944937668e-10,1.0713753103038883e-08,1.7483859663588327e-09,3.4676372884234752e-10,0,0
245,1,0,2.2204460492503131e-15,9.1581615944579398e-09,8.2790661692812968e-09,3.0517860589850746e-15,0,0
