domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
kepler,32768,fp64,0.204940795898,0.328287988901,nan,159.890078773,99.8148001384,1,449644.306977
kepler,32768,adaptive_frozen_v3,0.216646403074,0.341120004654,nan,151.251068723,96.0600362129,0.947814941406,449644.306972
kepler,32768,adaptive_no_gradient_gate_v3,0.216675207019,0.340416014194,nan,151.230962005,96.2586912297,0.947814941406,449644.306972
kepler,32768,fp32,0.0117696002126,0.13766400516,nan,2784.12175504,238.02881488,0,449371.144489
kepler,131072,fp64,0.793344020844,1.2502720356,nan,165.214581009,104.834784965,1,1371436.38426
kepler,131072,adaptive_frozen_v3,0.811712026596,1.2698559761,nan,161.475986194,103.218004613,0.94783,1371436.38423
kepler,131072,adaptive_no_gradient_gate_v3,0.811712026596,1.27167999744,nan,161.475986194,103.069954913,0.94783,1371436.38423
kepler,131072,fp32,0.0221120007336,0.482271999121,nan,5927.64090319,271.780240692,0,1370609.99236
kepler,524288,fp64,2.54383993149,4.37737607956,nan,206.101018193,119.772208389,1,1371436.38426
kepler,524288,adaptive_frozen_v3,2.62463998795,4.45711994171,nan,199.756157952,117.629322714,0.94783,1371436.38423
kepler,524288,adaptive_no_gradient_gate_v3,2.62422394753,4.44655990601,nan,199.787826986,117.908677963,0.94783,1371436.38423
kepler,524288,fp32,0.0635519996285,1.89292800426,nan,8249.74828588,276.97197084,0,1370609.99236
kepler,2097152,fp64,9.57260799408,16.6815032959,nan,219.078437276,125.717206825,1,1371436.38426
kepler,2097152,adaptive_frozen_v3,9.86256027222,17.0114555359,nan,212.637686576,123.278810304,0.94783,1371436.38423
kepler,2097152,adaptive_no_gradient_gate_v3,9.8565120697,16.986240387,nan,212.768166383,123.461810985,0.94783,1371436.38423
kepler,2097152,fp32,0.233216002584,7.38425588608,nan,8992.3160365,284.003159202,0,1370609.99236
kepler,8388608,fp64,37.7293777466,66.1467514038,nan,222.336240379,126.818140301,1,1371436.38426
kepler,8388608,adaptive_frozen_v3,38.8078384399,67.2388153076,nan,216.157568605,124.758414639,0.94783,1371436.38423
kepler,8388608,adaptive_no_gradient_gate_v3,38.8095359802,67.2191390991,nan,216.148113811,124.794933592,0.94783,1371436.38423
kepler,8388608,fp32,0.897311985493,29.2729282379,nan,9348.59684884,286.565386688,0,1370609.99236
kepler,16777216,fp64,75.6360626221,132.393341064,nan,221.815036616,126.722506322,1,1371436.38426
kepler,16777216,adaptive_frozen_v3,77.7911682129,134.499679565,nan,215.669932531,124.737962605,0.94783,1371436.38423
kepler,16777216,adaptive_no_gradient_gate_v3,77.8136291504,134.513565063,nan,215.607679313,124.725086218,0.94783,1371436.38423
kepler,16777216,fp32,1.78505599499,58.4481925964,nan,9398.70572526,287.044222494,0,1370609.99236
pv,1,adaptive_frozen_v3,0.145533695817,0.148218244314,nan,0.00687126094329,0.00674680775384,1,7.44420283371
pv,1,adaptive_no_gradient_gate_v3,0.145655021071,0.148447364569,nan,0.00686553743664,0.00673639443115,1,7.44420283371
pv,1,fp32,0.0122987199575,0.0162755195051,nan,0.0813092747423,0.061441971157,0,7.44381809235
pv,1,fp64,0.135458409786,0.138430073857,nan,0.00738233972758,0.00722386380456,1,7.44420283371
pv,8,adaptive_no_gradient_gate_v3,0.145747333765,0.148348480463,nan,0.0548895118239,0.0539270774802,1,159.974506715
pv,8,fp32,0.0122987516224,0.0164265595376,nan,0.650472523195,0.487016163163,0,159.709981441
pv,8,fp64,0.135470330715,0.138889282942,nan,0.0590535208541,0.0575998365788,1,159.974506715
pv,8,adaptive_frozen_v3,0.145877674222,0.148283839226,nan,0.0548404685135,0.0539505858613,1,159.974506715
pv,32,adaptive_frozen_v3,0.145681887865,0.159435197711,nan,0.219656681204,0.20070850389,1,1302.5552024
pv,32,adaptive_no_gradient_gate_v3,0.14575843513,0.159480005503,nan,0.219541325148,0.200652112465,1,1302.5552024
pv,32,fp32,0.0122988158837,0.0220668800175,nan,2.60187649792,1.4501370368,0,1302.16734481
pv,32,fp64,0.136159896851,0.147214397788,nan,0.235017804362,0.217370043153,1,1302.5552024
pv,128,adaptive_frozen_v3,0.159479647875,0.171795189381,nan,0.802610249682,0.745073249498,0.9921875,5992.42861474
pv,128,adaptive_no_gradient_gate_v3,0.159506648779,0.171778559685,nan,0.802474385738,0.745145379231,0.9921875,5992.42861474
pv,128,fp32,0.0143355196342,0.0222175996751,nan,8.92887061413,5.76119841351,0,5991.18903899
pv,128,fp64,0.145868986845,0.159450560808,nan,0.877499753501,0.802756662324,1,5992.42861454
pv,512,adaptive_frozen_v3,0.263005435467,0.270451515913,nan,1.94672782747,1.89313044991,0.986328125,25877.1396017
pv,512,adaptive_no_gradient_gate_v3,0.262992858887,0.270607680082,nan,1.94682092193,1.89203794898,0.986328125,25877.1396017
pv,512,fp32,0.0184302087873,0.0289872009307,nan,27.7804774709,17.6629679155,0,25864.1885079
pv,512,fp64,0.24638479948,0.258004158735,nan,2.07805027372,1.9844641362,1,25877.1396024
pv,2048,adaptive_frozen_v3,0.264333754778,0.281888008118,nan,7.7477808376,7.26529664627,0.98388671875,106226.468108
pv,2048,adaptive_no_gradient_gate_v3,0.264331221581,0.281612813473,nan,7.74785508785,7.27239636132,0.98388671875,106226.468108
pv,2048,fp32,0.0184470396489,0.030659198761,nan,111.020523563,66.7988754685,0,106169.529479
pv,2048,fp64,0.247416317463,0.260143995285,nan,8.27754620633,7.87256303093,1,106226.468109
pv,8192,adaptive_frozen_v3,0.272404164076,0.313427209854,nan,30.0729617251,26.1368500961,0.98388671875,424574.890011
